matrix,category,reordering,threads,gflops,time_ms
kkt_power,Optimization,none,1,0.8979,32.549
kkt_power,Optimization,rcm,1,1.1972,24.412
kkt_power,Optimization,amd,1,1.2388,23.591
kkt_power,Optimization,nd,1,1.2577,23.238
kkt_power,Optimization,none,2,1.5443,18.924
kkt_power,Optimization,rcm,2,2.2283,13.116
kkt_power,Optimization,amd,2,2.2056,13.251
kkt_power,Optimization,nd,2,2.3881,12.238
kkt_power,Optimization,none,4,2.5962,11.257
kkt_power,Optimization,rcm,4,4.2265,6.915
kkt_power,Optimization,amd,4,3.8266,7.637
kkt_power,Optimization,nd,4,4.5131,6.476
Hook_1498,FEM,none,1,1.8448,66.043
Hook_1498,FEM,rcm,1,1.8547,65.691
Hook_1498,FEM,amd,1,1.8010,67.647
Hook_1498,FEM,nd,1,1.8412,66.173
Hook_1498,FEM,none,2,3.6330,33.536
Hook_1498,FEM,rcm,2,3.6523,33.358
Hook_1498,FEM,amd,2,3.4490,35.325
Hook_1498,FEM,nd,2,3.6205,33.651
Hook_1498,FEM,none,4,6.7832,17.961
Hook_1498,FEM,rcm,4,6.8574,17.767
Hook_1498,FEM,amd,4,6.4551,18.874
Hook_1498,FEM,nd,4,7.0113,17.377
Flan_1565,FEM,none,1,2.1637,108.522
Flan_1565,FEM,rcm,1,2.0965,112.002
Flan_1565,FEM,amd,1,2.0449,114.827
Flan_1565,FEM,nd,1,2.0605,113.961
Flan_1565,FEM,none,2,4.2511,55.236
Flan_1565,FEM,rcm,2,4.2340,55.459
Flan_1565,FEM,amd,2,4.0548,57.910
Flan_1565,FEM,nd,2,4.1152,57.059
Flan_1565,FEM,none,4,8.2527,28.453
Flan_1565,FEM,rcm,4,8.0377,29.214
Flan_1565,FEM,amd,4,7.8243,30.011
Flan_1565,FEM,nd,4,7.8518,29.906
audikw_1,FEM,none,1,1.8561,83.671
audikw_1,FEM,rcm,1,1.9692,78.866
audikw_1,FEM,amd,1,1.9878,78.129
audikw_1,FEM,nd,1,2.0207,76.858
audikw_1,FEM,none,2,3.0576,50.793
audikw_1,FEM,rcm,2,3.8606,40.228
audikw_1,FEM,amd,2,3.8218,40.637
audikw_1,FEM,nd,2,3.8803,40.024
audikw_1,FEM,none,4,4.7881,32.436
audikw_1,FEM,rcm,4,7.5379,20.603
audikw_1,FEM,amd,4,6.9765,22.261
audikw_1,FEM,nd,4,7.5386,20.601
Geo_1438,FEM,none,1,1.8574,68.007
Geo_1438,FEM,rcm,1,1.9406,65.089
Geo_1438,FEM,amd,1,1.8884,66.890
