matrix,category,reordering,threads,gflops,time_ms
kkt_power,Optimization,none,1,0.9041,32.326
kkt_power,Optimization,rcm,1,1.2005,24.345
kkt_power,Optimization,amd,1,1.2516,23.349
kkt_power,Optimization,nd,1,1.2496,23.388
kkt_power,Optimization,none,2,1.5579,18.759
kkt_power,Optimization,rcm,2,2.2702,12.874
kkt_power,Optimization,amd,2,2.2446,13.020
kkt_power,Optimization,nd,2,2.3912,12.222
kkt_power,Optimization,none,4,2.5794,11.330
kkt_power,Optimization,rcm,4,4.2866,6.818
kkt_power,Optimization,amd,4,3.8639,7.564
kkt_power,Optimization,nd,4,4.6168,6.330
Hook_1498,FEM,none,1,1.8464,65.987
Hook_1498,FEM,rcm,1,1.8636,65.376
Hook_1498,FEM,amd,1,1.8332,66.460
Hook_1498,FEM,nd,1,1.8451,66.032
Hook_1498,FEM,none,2,3.6274,33.588
Hook_1498,FEM,rcm,2,3.6534,33.349
Hook_1498,FEM,amd,2,3.5016,34.794
Hook_1498,FEM,nd,2,3.6148,33.705
Hook_1498,FEM,none,4,6.7990,17.920
Hook_1498,FEM,rcm,4,6.8878,17.689
Hook_1498,FEM,amd,4,6.5883,18.493
Hook_1498,FEM,nd,4,7.0181,17.360
Flan_1565,FEM,none,1,2.1673,108.343
Flan_1565,FEM,rcm,1,2.1406,109.693
Flan_1565,FEM,amd,1,2.0496,114.562
Flan_1565,FEM,nd,1,2.0807,112.851
Flan_1565,FEM,none,2,4.2532,55.208
Flan_1565,FEM,rcm,2,4.2452,55.312
Flan_1565,FEM,amd,2,4.0521,57.948
Flan_1565,FEM,nd,2,4.1056,57.193
Flan_1565,FEM,none,4,8.2035,28.623
Flan_1565,FEM,rcm,4,7.9664,29.475
Flan_1565,FEM,amd,4,5.5281,42.476
Flan_1565,FEM,nd,4,7.8456,29.929
audikw_1,FEM,none,1,1.8672,83.173
audikw_1,FEM,rcm,1,1.9727,78.727
audikw_1,FEM,amd,1,1.9872,78.154
audikw_1,FEM,nd,1,2.0231,76.764
audikw_1,FEM,none,2,3.1543,49.235
audikw_1,FEM,rcm,2,3.8779,40.048
audikw_1,FEM,amd,2,3.8307,40.542
audikw_1,FEM,nd,2,3.9490,39.327
audikw_1,FEM,none,4,4.8098,32.289
audikw_1,FEM,rcm,4,7.5333,20.616
audikw_1,FEM,amd,4,7.0122,22.148
audikw_1,FEM,nd,4,7.5516,20.566
Geo_1438,FEM,none,1,1.8552,68.087
Geo_1438,FEM,rcm,1,1.9405,65.093
Geo_1438,FEM,amd,1,1.8888,66.877
Geo_1438,FEM,nd,1,1.9025,66.394
Geo_1438,FEM,none,2,3.6410,34.692
Geo_1438,FEM,rcm,2,3.8138,33.120
Geo_1438,FEM,amd,2,3.7005,34.134
Geo_1438,FEM,nd,2,3.7004,34.135
Geo_1438,FEM,none,4,6.8955,18.318
Geo_1438,FEM,rcm,4,7.0823,17.835
Geo_1438,FEM,amd,4,7.1876,17.574
Geo_1438,FEM,nd,4,7.1787,17.596
inline_1,FEM,none,1,1.8005,40.895
inline_1,FEM,rcm,1,2.0432,36.038
inline_1,FEM,amd,1,2.0470,35.971
inline_1,FEM,nd,1,2.0629,35.694
inline_1,FEM,none,2,3.6502,20.172
inline_1,FEM,rcm,2,4.0469,18.195
inline_1,FEM,amd,2,3.9542,18.622
inline_1,FEM,nd,2,4.0073,18.375
inline_1,FEM,none,4,6.1769,11.921
inline_1,FEM,rcm,4,7.7542,9.496
inline_1,FEM,amd,4,7.7021,9.560
inline_1,FEM,nd,4,7.6913,9.574
crystk01,FEM,none,1,2.9550,0.214
crystk01,FEM,rcm,1,2.8736,0.220
crystk01,FEM,amd,1,2.8551,0.221
crystk01,FEM,nd,1,2.8508,0.222
crystk01,FEM,none,2,5.8803,0.107
crystk01,FEM,rcm,2,5.7310,0.110
crystk01,FEM,amd,2,5.5930,0.113
crystk01,FEM,nd,2,5.6349,0.112
crystk01,FEM,none,4,11.2018,0.056
