matrix,category,n,nnz,avg_nnz_row,std_nnz_row,bw,rcm_bw,amd_bw,nd_bw,avg_bw,avg_rcm_bw,avg_amd_bw,avg_nd_bw,lb,rcm_lb,amd_lb,nd_lb,density
kkt_power,Optimization,2063494,14612663,7.08,7.40,2046911,250687,2062758,2058010,637714.05,83748.16,71946.14,23251.06,1.32,1.09,1.07,1.05,3.431808e-06
Hook_1498,FEM,1498023,60917445,40.67,13.95,29036,29036,1470671,1435319,8777.94,8799.93,32294.02,14959.14,1.00,1.00,1.03,1.00,2.714593e-05
Flan_1565,FEM,1564794,117406044,75.03,11.43,20702,23159,887791,1095815,7307.33,10350.78,15981.77,8802.14,1.00,1.00,1.00,1.00,4.794862e-05
audikw_1,FEM,943695,77651847,82.28,42.45,925946,39815,933877,844748,231285.93,8706.23,38934.40,13717.70,1.48,1.01,1.06,1.01,8.719438e-05
Geo_1438,FEM,1437960,63156690,43.92,4.40,26018,30623,1269268,1420196,10034.89,10699.99,28284.03,16914.23,1.00,1.00,1.00,1.00,3.054399e-05
inline_1,FEM,503712,36816342,73.09,35.63,502403,5996,348163,356951,55064.44,1335.32,7454.03,3604.38,1.12,1.02,1.02,1.03,1.451029e-04
crystk01,FEM,4875,315891,64.80,16.03,239,392,4630,4751,136.77,148.35,365.27,357.65,1.03,1.03,1.02,1.03,1.329193e-02
thermal2,CFD,1228045,8580313,6.99,0.81,1226000,1849,1224111,780428,48860.10,637.97,4695.09,1614.46,1.00,1.00,1.00,1.00,5.689506e-06
atmosmodd,CFD,1270432,8814880,6.94,0.24,21904,7773,1262810,1263822,6247.57,4742.32,32713.72,13174.37,1.00,1.00,1.00,1.00,5.461520e-06
s3rmt3m3,Small,5357,207695,38.77,7.06,5302,212,4878,4234,251.55,73.95,300.52,212.04,1.09,1.04,1.03,1.03,7.237403e-03
G3_circuit,Circuit,1585478,7660826,4.83,0.64,947128,5093,1579317,1536188,31114.10,2509.85,8477.92,3015.02,1.06,1.00,1.00,1.00,3.047580e-06
dgreen,Circuit,1200611,38259877,31.87,11.45,755900,54872,1197160,1193699,279429.05,19540.52,18454.48,6718.52,1.26,1.04,1.03,1.04,2.654232e-05
nv2,Circuit,1453908,52728362,36.27,9.17,1077636,61716,1453809,1452180,420015.41,21917.13,27590.20,8618.62,1.25,1.01,1.02,1.01,2.494425e-05
circuit5M,Circuit,5558326,59524291,10.71,1356.62,5556249,5499530,5555185,5558220,1897230.68,1549470.47,1016858.10,2014310.62,2.60,1.59,1.55,2.11,1.926665e-06
