matrix,category,reordering,threads,gflops,time_ms
kkt_power,Optimization,none,1,0.8275,35.318
kkt_power,Optimization,rcm,1,1.0771,27.134
kkt_power,Optimization,amd,1,1.1509,25.393
kkt_power,Optimization,nd,1,1.1631,25.126
kkt_power,Optimization,none,2,1.4676,19.914
kkt_power,Optimization,rcm,2,2.0965,13.940
kkt_power,Optimization,amd,2,2.1318,13.709
kkt_power,Optimization,nd,2,2.2270,13.123
kkt_power,Optimization,none,4,2.3244,12.573
kkt_power,Optimization,rcm,4,4.0634,7.192
kkt_power,Optimization,amd,4,3.8023,7.686
kkt_power,Optimization,nd,4,4.3573,6.707
s3rmt3m3,Small,none,1,2.3281,0.178
s3rmt3m3,Small,rcm,1,2.3798,0.175
s3rmt3m3,Small,amd,1,2.3611,0.176
s3rmt3m3,Small,nd,1,2.3586,0.176
s3rmt3m3,Small,none,2,4.6738,0.089
s3rmt3m3,Small,rcm,2,4.7456,0.088
s3rmt3m3,Small,amd,2,4.7632,0.087
s3rmt3m3,Small,nd,2,4.7581,0.087
s3rmt3m3,Small,none,4,8.7046,0.048
s3rmt3m3,Small,rcm,4,9.2155,0.045
s3rmt3m3,Small,amd,4,9.2206,0.045
s3rmt3m3,Small,nd,4,9.2723,0.045
Geo_1438,FEM,none,1,1.8184,69.465
Geo_1438,FEM,rcm,1,1.9665,64.233
Geo_1438,FEM,amd,1,1.9022,66.405
Geo_1438,FEM,nd,1,1.9229,65.689
Geo_1438,FEM,none,2,3.5828,35.255
Geo_1438,FEM,rcm,2,3.8819,32.539
Geo_1438,FEM,amd,2,3.7038,34.104
Geo_1438,FEM,nd,2,3.7330,33.837
Geo_1438,FEM,none,4,6.9517,18.170
Geo_1438,FEM,rcm,4,7.3578,17.167
Geo_1438,FEM,amd,4,7.2470,17.430
Geo_1438,FEM,nd,4,7.2984,17.307
inline_1,FEM,none,1,1.8057,40.779
inline_1,FEM,rcm,1,2.1385,34.432
inline_1,FEM,amd,1,2.1187,34.754
inline_1,FEM,nd,1,2.1539,34.186
inline_1,FEM,none,2,3.6348,20.257
inline_1,FEM,rcm,2,4.2633,17.271
inline_1,FEM,amd,2,4.2233,17.435
inline_1,FEM,nd,2,4.2642,17.268
inline_1,FEM,none,4,6.3379,11.618
inline_1,FEM,rcm,4,8.3317,8.838
inline_1,FEM,amd,4,8.2209,8.957
inline_1,FEM,nd,4,8.3171,8.853
crystk01,FEM,none,1,2.4516,0.258
crystk01,FEM,rcm,1,2.4538,0.257
crystk01,FEM,amd,1,2.4464,0.258
crystk01,FEM,nd,1,2.4648,0.256
crystk01,FEM,none,2,4.8839,0.129
crystk01,FEM,rcm,2,4.8870,0.129
crystk01,FEM,amd,2,4.8477,0.130
crystk01,FEM,nd,2,4.8877,0.129
crystk01,FEM,none,4,9.4228,0.067
crystk01,FEM,rcm,4,9.4407,0.067
crystk01,FEM,amd,4,9.4460,0.067
crystk01,FEM,nd,4,9.4797,0.067
audikw_1,FEM,none,1,1.8141,85.610
audikw_1,FEM,rcm,1,2.0279,76.583
audikw_1,FEM,amd,1,2.0337,76.367
audikw_1,FEM,nd,1,2.0351,76.313
audikw_1,FEM,none,2,3.1822,48.804
audikw_1,FEM,rcm,2,4.0270,38.566
audikw_1,FEM,amd,2,3.9459,39.358
audikw_1,FEM,nd,2,4.0010,38.816
audikw_1,FEM,none,4,4.8382,32.100
audikw_1,FEM,rcm,4,7.9024,19.653
audikw_1,FEM,amd,4,7.2814,21.329
audikw_1,FEM,nd,4,7.9249,19.597
Hook_1498,FEM,none,1,1.8239,66.799
Hook_1498,FEM,rcm,1,1.8918,64.401
Hook_1498,FEM,amd,1,1.8323,66.494
Hook_1498,FEM,nd,1,1.8703,65.143
Hook_1498,FEM,none,2,3.5938,33.901
Hook_1498,FEM,rcm,2,3.7114,32.828
Hook_1498,FEM,amd,2,3.5225,34.587
Hook_1498,FEM,nd,2,3.6743,33.159
Hook_1498,FEM,none,4,7.0068,17.388
Hook_1498,FEM,rcm,4,7.1485,17.043
Hook_1498,FEM,amd,4,6.7843,17.958
Hook_1498,FEM,nd,4,7.1787,16.972
Flan_1565,FEM,none,1,2.3050,101.872
Flan_1565,FEM,rcm,1,2.2769,103.129
Flan_1565,FEM,amd,1,2.1265,110.422
Flan_1565,FEM,nd,1,2.1870,107.366
Flan_1565,FEM,none,2,4.5559,51.541
Flan_1565,FEM,rcm,2,4.4583,52.668
Flan_1565,FEM,amd,2,4.2137,55.726
Flan_1565,FEM,nd,2,4.3114,54.463
Flan_1565,FEM,none,4,8.9672,26.186
Flan_1565,FEM,rcm,4,8.6395,27.179
Flan_1565,FEM,amd,4,8.3187,28.227
Flan_1565,FEM,nd,4,8.4859,27.671
nv2,Circuit,none,1,0.5018,210.147
nv2,Circuit,rcm,1,1.6339,64.544
nv2,Circuit,amd,1,1.6543,63.746
nv2,Circuit,nd,1,1.7486,60.309
nv2,Circuit,none,2,0.8791,119.963
nv2,Circuit,rcm,2,3.2006,32.949
nv2,Circuit,amd,2,3.2172,32.779
nv2,Circuit,nd,2,3.4518,30.551
nv2,Circuit,none,4,1.5632,67.464
nv2,Circuit,rcm,4,6.3497,16.608
nv2,Circuit,amd,4,6.2888,16.769
nv2,Circuit,nd,4,6.8452,15.406
circuit5M,Circuit,none,1,1.5642,76.108
circuit5M,Circuit,rcm,1,1.6085,74.011
circuit5M,Circuit,amd,1,1.5825,75.226
circuit5M,Circuit,nd,1,0.9959,119.534
circuit5M,Circuit,none,2,2.0111,59.197
circuit5M,Circuit,rcm,2,2.4145,49.306
circuit5M,Circuit,amd,2,2.6294,45.276
circuit5M,Circuit,nd,2,1.1691,101.827
circuit5M,Circuit,none,4,2.3497,50.665
circuit5M,Circuit,rcm,4,4.0077,29.705
circuit5M,Circuit,amd,4,4.0871,29.128
circuit5M,Circuit,nd,4,1.4036,84.817
G3_circuit,Circuit,none,1,1.0108,15.158
G3_circuit,Circuit,rcm,1,1.4685,10.433
G3_circuit,Circuit,amd,1,1.0946,13.997
G3_circuit,Circuit,nd,1,1.0245,14.955
G3_circuit,Circuit,none,2,1.5510,9.879
G3_circuit,Circuit,rcm,2,2.9265,5.235
G3_circuit,Circuit,amd,2,2.1957,6.978
G3_circuit,Circuit,nd,2,2.1142,7.247
G3_circuit,Circuit,none,4,2.6992,5.676
G3_circuit,Circuit,rcm,4,5.6782,2.698
G3_circuit,Circuit,amd,4,4.5478,3.369
G3_circuit,Circuit,nd,4,4.3555,3.518
dgreen,Circuit,none,1,0.7681,99.622
dgreen,Circuit,rcm,1,1.6035,47.721
dgreen,Circuit,amd,1,1.6372,46.737
dgreen,Circuit,nd,1,1.6923,45.218
dgreen,Circuit,none,2,1.4436,53.008
dgreen,Circuit,rcm,2,3.1569,24.239
dgreen,Circuit,amd,2,3.1611,24.207
dgreen,Circuit,nd,2,3.3728,22.687
dgreen,Circuit,none,4,2.5780,29.682
dgreen,Circuit,rcm,4,6.2039,12.334
dgreen,Circuit,amd,4,6.1606,12.421
dgreen,Circuit,nd,4,6.4123,11.933
atmosmodd,CFD,none,1,1.6941,10.407
atmosmodd,CFD,rcm,1,1.6871,10.450
atmosmodd,CFD,amd,1,1.3124,13.433
atmosmodd,CFD,nd,1,1.2052,14.627
atmosmodd,CFD,none,2,3.3822,5.212
atmosmodd,CFD,rcm,2,3.3725,5.228
atmosmodd,CFD,amd,2,2.6111,6.752
atmosmodd,CFD,nd,2,2.5258,6.980
atmosmodd,CFD,none,4,6.7342,2.618
atmosmodd,CFD,rcm,4,6.6969,2.633
atmosmodd,CFD,amd,4,5.1402,3.430
atmosmodd,CFD,nd,4,4.8754,3.616
thermal2,CFD,none,1,0.8121,21.132
thermal2,CFD,rcm,1,1.2541,13.684
thermal2,CFD,amd,1,1.1042,15.542
thermal2,CFD,nd,1,1.1013,15.583
thermal2,CFD,none,2,1.6851,10.184
thermal2,CFD,rcm,2,2.5064,6.847
thermal2,CFD,amd,2,2.3440,7.321
thermal2,CFD,nd,2,2.2640,7.580
thermal2,CFD,none,4,3.1758,5.404
thermal2,CFD,rcm,4,4.9818,3.445
thermal2,CFD,amd,4,4.5894,3.739
thermal2,CFD,nd,4,4.6766,3.670
