matrix,reordering,time_s
kkt_power,rcm,1.1422
kkt_power,amd,2.1905
kkt_power,nd,17.4787
com-Amazon,rcm,0.1788
com-Amazon,amd,0.6961
com-Amazon,nd,3.0714
Hook_1498,rcm,2.9480
Hook_1498,amd,1.8938
Hook_1498,nd,5.6991
Flan_1565,rcm,4.4685
Flan_1565,amd,1.9308
Flan_1565,nd,6.6218
audikw_1,rcm,3.8696
audikw_1,amd,1.5459
audikw_1,nd,5.8166
Geo_1438,rcm,2.7369
Geo_1438,amd,1.7869
Geo_1438,nd,5.1707
inline_1,rcm,1.8105
inline_1,amd,0.6729
inline_1,nd,2.6849
crystk01,rcm,0.0129
crystk01,amd,0.0044
crystk01,nd,0.0149
thermal2,rcm,1.1313
thermal2,amd,1.3976
thermal2,nd,5.3835
atmosmodd,rcm,0.4761
atmosmodd,amd,1.5831
atmosmodd,nd,12.6435
s3rmt3m3,rcm,0.0073
s3rmt3m3,amd,0.0027
s3rmt3m3,nd,0.0038
G3_circuit,rcm,0.3977
G3_circuit,amd,1.4847
G3_circuit,nd,6.1654
nv2,rcm,3.3499
nv2,amd,6.8670
nv2,nd,41.0483
dgreen,rcm,2.3426
dgreen,amd,4.7268
dgreen,nd,24.3604
circuit5M,rcm,2.4816
circuit5M,amd,10.9541
circuit5M,nd,32.8793
