matrix,category,reordering,L1_misses,L2_misses,L3_misses
inline_1,FEM,none,8335419,7830017,2555383
inline_1,FEM,rcm,7479002,6696337,2492194
inline_1,FEM,amd,7452641,6689542,2411978
inline_1,FEM,nd,7368750,6663370,2412469
Flan_1565,FEM,none,23203892,21026861,7922368
Flan_1565,FEM,rcm,23212053,20999528,7806878
Flan_1565,FEM,amd,24495734,21649783,7764234
Flan_1565,FEM,nd,23968270,21270682,7734291
Hook_1498,FEM,none,13386725,11776204,4169956
Hook_1498,FEM,rcm,13509438,11762116,4190737
Hook_1498,FEM,amd,13298306,11645955,4220248
Hook_1498,FEM,nd,13190877,11521830,4168893
audikw_1,FEM,none,16929649,15442616,5322445
audikw_1,FEM,rcm,16405462,14564359,5005440
audikw_1,FEM,amd,16360274,14426794,4971659
audikw_1,FEM,nd,16362800,14242605,4922402
F1,FEM,none,7303958,8050455,1945021
F1,FEM,rcm,5669213,5034139,1797528
F1,FEM,amd,5565310,4951296,1796576
F1,FEM,nd,5534940,4912450,1736748
consph,FEM,none,1207764,1115790,418978
consph,FEM,rcm,1234580,1102598,413702
consph,FEM,amd,1261158,1127989,403484
consph,FEM,nd,1244221,1111485,413979
ldoor,FEM,none,10119633,9953056,3538374
ldoor,FEM,rcm,9387258,8471928,3179005
ldoor,FEM,amd,9368852,8435851,3223568
ldoor,FEM,nd,9353897,8425395,3197558
pwtk,FEM,none,2314807,2095951,831518
pwtk,FEM,rcm,2316889,2116156,816670
pwtk,FEM,amd,2338730,2118232,800762
pwtk,FEM,nd,2332717,2120794,817977
bmw7st_1,FEM,none,1521674,1403926,510425
bmw7st_1,FEM,rcm,1491639,1357286,524840
bmw7st_1,FEM,amd,1480359,1366994,511785
bmw7st_1,FEM,nd,1474518,1358285,509973
thermal2,CFD,none,3706806,2653813,735378
thermal2,CFD,rcm,2293250,1853454,565042
thermal2,CFD,amd,2126135,1942902,629323
thermal2,CFD,nd,2112238,1934687,621263
atmosmodd,CFD,none,2364616,2145250,747466
atmosmodd,CFD,rcm,2375614,2067831,726296
atmosmodd,CFD,amd,2405081,2143188,809178
atmosmodd,CFD,nd,2443132,2150076,774237
rma10,CFD,none,474969,435529,153307
rma10,CFD,rcm,472114,429367,152627
rma10,CFD,amd,472791,435306,149510
rma10,CFD,nd,471414,433002,156334
kkt_power,Optimization,none,8659239,3687656,1219755
kkt_power,Optimization,rcm,4494135,4005923,1310020
kkt_power,Optimization,amd,4031054,3720151,1337650
kkt_power,Optimization,nd,4186524,3722747,1222822
nlpkkt120,Optimization,none,21503826,18707013,7034008
nlpkkt120,Optimization,rcm,21918964,18750598,7082665
nlpkkt120,Optimization,amd,21062951,18730562,7118562
nlpkkt120,Optimization,nd,22055456,19231455,7127683
mip1,Optimization,none,2011654,1864288,627629
mip1,Optimization,rcm,2018191,1874434,637917
mip1,Optimization,amd,2277381,1919208,635330
mip1,Optimization,nd,2035847,1861472,613964
largebasis,Optimization,none,1291897,1173390,446549
largebasis,Optimization,rcm,1181212,1083243,426949
largebasis,Optimization,amd,1181437,1082666,443117
largebasis,Optimization,nd,1194001,1082008,426517
gupta2,Optimization,none,1434080,778502,258173
gupta2,Optimization,rcm,1215954,822037,263010
gupta2,Optimization,amd,1910252,1066547,264487
gupta2,Optimization,nd,2502644,1313797,284540
nv2,Circuit,none,55267503,49045968,4441049
nv2,Circuit,rcm,11719302,10492915,3669717
nv2,Circuit,amd,11731959,10152352,3637850
nv2,Circuit,nd,11218906,9921220,3589769
G3_circuit,Circuit,none,2552892,1985138,728577
G3_circuit,Circuit,rcm,2428544,1821016,633783
G3_circuit,Circuit,amd,2153821,1929885,683149
G3_circuit,Circuit,nd,2126235,1910298,648289
dgreen,Circuit,none,34120173,13951000,2808828
dgreen,Circuit,rcm,8579648,7556516,2676374
dgreen,Circuit,amd,8464582,7405113,2647066
dgreen,Circuit,nd,8131739,7258170,2625039
circuit5M,Circuit,none,19256791,14249120,5210202
circuit5M,Circuit,rcm,17473634,14389244,5211089
circuit5M,Circuit,amd,19238841,13884940,4989289
circuit5M,Circuit,nd,23902331,19127829,8699481
ASIC_680k,Circuit,none,1301645,1250641,344823
ASIC_680k,Circuit,rcm,1507313,1478101,414352
ASIC_680k,Circuit,amd,1371459,1477799,479255
ASIC_680k,Circuit,nd,1470929,1551804,483399
