matrix,category,reordering,threads,gflops,time_ms
inline_1,FEM,none,1,0.8925,82.499
inline_1,FEM,rcm,1,0.9129,80.654
inline_1,FEM,amd,1,0.9025,81.591
inline_1,FEM,nd,1,0.9078,81.108
inline_1,FEM,none,2,1.7400,42.318
inline_1,FEM,rcm,2,1.7877,41.189
inline_1,FEM,amd,2,1.7811,41.341
inline_1,FEM,nd,2,1.7861,41.225
inline_1,FEM,none,4,2.4876,29.599
inline_1,FEM,rcm,4,2.9209,25.209
inline_1,FEM,amd,4,3.0577,24.081
inline_1,FEM,nd,4,2.9569,24.902
Flan_1565,FEM,none,1,0.9507,246.984
Flan_1565,FEM,rcm,1,0.9490,247.444
Flan_1565,FEM,amd,1,0.9309,252.256
Flan_1565,FEM,nd,1,0.9318,252.006
Flan_1565,FEM,none,2,1.8589,126.316
Flan_1565,FEM,rcm,2,1.8403,127.594
Flan_1565,FEM,amd,2,1.8005,130.418
Flan_1565,FEM,nd,2,1.7977,130.619
Flan_1565,FEM,none,4,3.3901,69.264
Flan_1565,FEM,rcm,4,3.2076,73.204
Flan_1565,FEM,amd,4,3.2426,72.414
Flan_1565,FEM,nd,4,2.8888,81.284
Hook_1498,FEM,none,1,0.9679,125.873
Hook_1498,FEM,rcm,1,0.9702,125.572
Hook_1498,FEM,amd,1,0.9636,126.437
Hook_1498,FEM,nd,1,0.9612,126.753
Hook_1498,FEM,none,2,1.8183,67.005
Hook_1498,FEM,rcm,2,1.8216,66.885
Hook_1498,FEM,amd,2,1.8305,66.557
Hook_1498,FEM,nd,2,1.8095,67.329
Hook_1498,FEM,none,4,2.5377,48.010
Hook_1498,FEM,rcm,4,2.9753,40.949
Hook_1498,FEM,amd,4,2.9466,41.348
Hook_1498,FEM,nd,4,3.1290,38.938
audikw_1,FEM,none,1,0.8671,179.101
audikw_1,FEM,rcm,1,0.8783,176.820
audikw_1,FEM,amd,1,0.8843,175.620
audikw_1,FEM,nd,1,0.8882,174.852
audikw_1,FEM,none,2,1.3407,115.842
audikw_1,FEM,rcm,2,1.7266,89.946
audikw_1,FEM,amd,2,1.7095,90.847
audikw_1,FEM,nd,2,1.7408,89.216
audikw_1,FEM,none,4,1.6244,95.606
audikw_1,FEM,rcm,4,3.0981,50.129
audikw_1,FEM,amd,4,3.0045,51.691
audikw_1,FEM,nd,4,3.1651,49.067
F1,FEM,none,1,0.8510,63.072
F1,FEM,rcm,1,0.8958,59.916
F1,FEM,amd,1,0.8865,60.546
F1,FEM,nd,1,0.8808,60.939
F1,FEM,none,2,1.3598,39.473
F1,FEM,rcm,2,1.7535,30.611
F1,FEM,amd,2,1.6458,32.612
F1,FEM,nd,2,1.7298,31.029
F1,FEM,none,4,1.7310,31.007
F1,FEM,rcm,4,2.9002,18.507
F1,FEM,amd,4,2.8472,18.851
F1,FEM,nd,4,2.8382,18.911
consph,FEM,none,1,0.9159,13.125
consph,FEM,rcm,1,0.9226,13.030
consph,FEM,amd,1,0.8968,13.404
consph,FEM,nd,1,0.9046,13.289
consph,FEM,none,2,1.9151,6.277
consph,FEM,rcm,2,1.6611,7.237
consph,FEM,amd,2,1.8476,6.506
consph,FEM,nd,2,1.8983,6.333
consph,FEM,none,4,3.4956,3.439
consph,FEM,rcm,4,3.1018,3.875
consph,FEM,amd,4,3.1734,3.788
consph,FEM,nd,4,3.3363,3.603
ldoor,FEM,none,1,0.9764,95.295
ldoor,FEM,rcm,1,1.0012,92.937
ldoor,FEM,amd,1,0.9979,93.245
ldoor,FEM,nd,1,1.0030,92.763
ldoor,FEM,none,2,1.7729,52.482
ldoor,FEM,rcm,2,1.9345,48.098
ldoor,FEM,amd,2,1.9258,48.315
ldoor,FEM,nd,2,1.9071,48.787
ldoor,FEM,none,4,2.7079,34.361
ldoor,FEM,rcm,4,3.2692,28.461
ldoor,FEM,amd,4,3.0585,30.421
ldoor,FEM,nd,4,3.1609,29.436
pwtk,FEM,none,1,0.9973,23.331
pwtk,FEM,rcm,1,0.9778,23.797
pwtk,FEM,amd,1,0.9910,23.481
pwtk,FEM,nd,1,0.9659,24.090
pwtk,FEM,none,2,1.9179,12.132
pwtk,FEM,rcm,2,1.7156,13.563
pwtk,FEM,amd,2,1.9090,12.189
pwtk,FEM,nd,2,1.9295,12.059
pwtk,FEM,none,4,3.7054,6.280
pwtk,FEM,rcm,4,3.4091,6.826
pwtk,FEM,amd,4,3.6756,6.331
pwtk,FEM,nd,4,3.4423,6.760
bmw7st_1,FEM,none,1,0.9400,15.616
bmw7st_1,FEM,rcm,1,0.9460,15.517
bmw7st_1,FEM,amd,1,0.9531,15.401
bmw7st_1,FEM,nd,1,0.9531,15.402
bmw7st_1,FEM,none,2,1.9022,7.717
bmw7st_1,FEM,rcm,2,1.9335,7.592
bmw7st_1,FEM,amd,2,1.9682,7.458
bmw7st_1,FEM,nd,2,1.9566,7.503
bmw7st_1,FEM,none,4,3.2682,4.492
bmw7st_1,FEM,rcm,4,3.5950,4.083
bmw7st_1,FEM,amd,4,3.2851,4.469
bmw7st_1,FEM,nd,4,3.4095,4.305
thermal2,CFD,none,1,0.5707,30.067
thermal2,CFD,rcm,1,0.6342,27.058
thermal2,CFD,amd,1,0.5055,33.947
thermal2,CFD,nd,1,0.5752,29.834
thermal2,CFD,none,2,1.0442,16.434
thermal2,CFD,rcm,2,1.2362,13.882
thermal2,CFD,amd,2,1.1711,14.654
thermal2,CFD,nd,2,1.2040,14.253
thermal2,CFD,none,4,1.9519,8.792
thermal2,CFD,rcm,4,2.5100,6.837
thermal2,CFD,amd,4,1.3065,13.135
thermal2,CFD,nd,4,2.2475,7.636
atmosmodd,CFD,none,1,1.0782,16.351
atmosmodd,CFD,rcm,1,0.9692,18.190
atmosmodd,CFD,amd,1,0.8273,21.309
atmosmodd,CFD,nd,1,0.8102,21.759
