matrix,category,reordering,threads,gflops,time_ms
inline_1,FEM,none,1,0.9036,81.489
inline_1,FEM,rcm,1,0.9209,79.962
inline_1,FEM,amd,1,0.9103,80.889
inline_1,FEM,nd,1,0.9120,80.734
inline_1,FEM,none,2,1.7638,41.745
inline_1,FEM,rcm,2,1.8071,40.747
inline_1,FEM,amd,2,1.7951,41.018
inline_1,FEM,nd,2,1.8022,40.858
inline_1,FEM,none,4,2.7286,26.985
inline_1,FEM,rcm,4,3.1509,23.369
inline_1,FEM,amd,4,3.3041,22.285
inline_1,FEM,nd,4,3.3886,21.729
Flan_1565,FEM,none,1,0.9558,245.668
Flan_1565,FEM,rcm,1,0.9544,246.037
Flan_1565,FEM,amd,1,0.9424,249.160
Flan_1565,FEM,nd,1,0.9474,247.846
Flan_1565,FEM,none,2,1.8978,123.731
Flan_1565,FEM,rcm,2,1.8882,124.355
Flan_1565,FEM,amd,2,1.8600,126.242
Flan_1565,FEM,nd,2,1.8474,127.105
Flan_1565,FEM,none,4,3.5762,65.659
Flan_1565,FEM,rcm,4,3.4820,67.437
Flan_1565,FEM,amd,4,3.5071,66.954
Flan_1565,FEM,nd,4,3.1223,75.205
Hook_1498,FEM,none,1,0.9920,122.817
Hook_1498,FEM,rcm,1,0.9818,124.098
Hook_1498,FEM,amd,1,0.9743,125.050
Hook_1498,FEM,nd,1,0.9756,124.885
Hook_1498,FEM,none,2,1.9227,63.366
Hook_1498,FEM,rcm,2,1.9204,63.443
Hook_1498,FEM,amd,2,1.8843,64.658
Hook_1498,FEM,nd,2,1.9107,63.764
Hook_1498,FEM,none,4,3.0849,39.494
Hook_1498,FEM,rcm,4,3.4772,35.038
Hook_1498,FEM,amd,4,3.2964,36.960
Hook_1498,FEM,nd,4,3.5659,34.167
audikw_1,FEM,none,1,0.8822,176.042
audikw_1,FEM,rcm,1,0.8958,173.378
audikw_1,FEM,amd,1,0.8919,174.129
audikw_1,FEM,nd,1,0.8937,173.784
audikw_1,FEM,none,2,1.3959,111.260
audikw_1,FEM,rcm,2,1.7856,86.976
audikw_1,FEM,amd,2,1.7354,89.491
audikw_1,FEM,nd,2,1.7609,88.194
audikw_1,FEM,none,4,1.7163,90.489
audikw_1,FEM,rcm,4,3.3432,46.454
audikw_1,FEM,amd,4,3.1331,49.569
audikw_1,FEM,nd,4,3.3622,46.191
F1,FEM,none,1,0.8779,61.140
F1,FEM,rcm,1,0.9138,58.736
F1,FEM,amd,1,0.9065,59.212
F1,FEM,nd,1,0.9020,59.508
F1,FEM,none,2,1.4563,36.857
F1,FEM,rcm,2,1.7986,29.842
F1,FEM,amd,2,1.7699,30.326
F1,FEM,nd,2,1.7776,30.195
F1,FEM,none,4,2.0140,26.650
F1,FEM,rcm,4,3.3675,15.939
F1,FEM,amd,4,3.2613,16.458
F1,FEM,nd,4,3.3340,16.099
consph,FEM,none,1,0.9757,12.320
consph,FEM,rcm,1,0.9726,12.360
consph,FEM,amd,1,0.9637,12.473
consph,FEM,nd,1,0.9642,12.468
consph,FEM,none,2,1.9338,6.216
consph,FEM,rcm,2,1.7443,6.892
consph,FEM,amd,2,1.8571,6.473
consph,FEM,nd,2,1.9026,6.318
consph,FEM,none,4,3.5346,3.401
consph,FEM,rcm,4,3.1286,3.842
consph,FEM,amd,4,3.4188,3.516
consph,FEM,nd,4,3.5597,3.377
