matrix,category,n,nnz,avg_nnz_row,std_nnz_row,bw,rcm_bw,amd_bw,nd_bw,avg_bw,avg_rcm_bw,avg_amd_bw,avg_nd_bw,lb,rcm_lb,amd_lb,nd_lb,density
inline_1,FEM,503712,36816342,73.09,35.63,502403,5996,348163,499895,55064.44,1335.32,7454.03,4678.94,1.12,1.02,1.02,1.02,1.451029e-04
Flan_1565,FEM,1564794,117406044,75.03,11.43,20702,23159,887791,1101851,7307.33,10350.78,15981.77,8323.90,1.00,1.00,1.00,1.00,4.794862e-05
Hook_1498,FEM,1498023,60917445,40.67,13.95,29036,29036,1470671,1491617,8777.94,8799.93,32294.02,15448.46,1.00,1.00,1.03,1.00,2.714593e-05
audikw_1,FEM,943695,77651847,82.28,42.45,925946,39815,933877,792974,231285.93,8706.23,38934.40,13354.29,1.48,1.01,1.06,1.01,8.719438e-05
F1,FEM,343791,26837113,78.06,40.81,343754,19022,341815,267679,83088.78,3218.29,7598.87,3769.40,1.39,1.01,1.02,1.01,2.270632e-04
consph,FEM,83334,6010480,72.13,19.08,44024,8178,75594,75874,2014.68,2793.54,6313.79,3863.00,1.02,1.08,1.05,1.01,8.654953e-04
ldoor,FEM,952203,46522475,48.86,11.95,686979,9120,904004,916467,71299.85,3479.79,4977.80,3766.64,1.06,1.00,1.00,1.00,5.131020e-05
pwtk,FEM,217918,11634424,53.39,4.74,189331,2029,214202,198421,5406.53,612.55,3950.43,1731.87,1.01,1.01,1.01,1.01,2.449958e-04
bmw7st_1,FEM,141347,7339667,51.93,12.72,121856,4971,141008,140725,6890.24,1784.69,4093.20,1750.82,1.03,1.02,1.01,1.02,3.673696e-04
thermal2,CFD,1228045,8580313,6.99,0.81,1226000,1849,1224111,1089583,48860.10,637.97,4695.09,1538.39,1.00,1.00,1.00,1.00,5.689506e-06
atmosmodd,CFD,1270432,8814880,6.94,0.24,21904,7773,1262810,1248974,6247.57,4742.32,32713.72,13675.38,1.00,1.00,1.00,1.00,5.461520e-06
rma10,CFD,46835,2374001,50.69,27.78,25141,603,46833,37556,6342.97,171.62,1812.04,585.30,1.34,1.45,1.22,1.35,1.082281e-03
kkt_power,Optimization,2063494,14612663,7.08,7.40,2046911,250687,2062758,2060803,637714.05,83748.16,71946.14,22224.36,1.32,1.09,1.07,1.05,3.431808e-06
nlpkkt120,Optimization,3542400,96845792,27.34,3.09,1814521,86876,3497833,3419282,1706413.51,41686.46,138255.31,64510.81,1.02,1.01,1.01,1.00,7.717658e-06
mip1,Optimization,66463,10352819,155.77,350.74,66462,66392,66461,66460,1419.16,2007.84,6881.39,1216.14,2.19,3.12,2.86,2.48,2.343682e-03
largebasis,Optimization,440020,5560100,12.64,1.15,400019,20,440013,301265,203753.34,7.88,10.95,90.28,1.08,1.00,1.00,1.00,2.871691e-05
gupta2,Optimization,62064,4248286,68.45,356.02,10843,11929,62023,62046,5121.60,4843.13,27335.26,31216.25,1.17,1.18,2.40,2.39,1.102895e-03
nv2,Circuit,1453908,52728362,36.27,9.17,1077636,61716,1453809,1353341,420015.41,21917.13,27590.20,9392.80,1.25,1.01,1.02,1.01,2.494425e-05
G3_circuit,Circuit,1585478,7660826,4.83,0.64,947128,5093,1579317,1540946,31114.10,2509.85,8477.92,2924.33,1.06,1.00,1.00,1.00,3.047580e-06
dgreen,Circuit,1200611,38259877,31.87,11.45,755900,54872,1197160,1161553,279429.05,19540.52,18454.48,7602.63,1.26,1.04,1.03,1.07,2.654232e-05
circuit5M,Circuit,5558326,59524291,10.71,1356.62,5556249,5499530,5555185,5558224,1897230.68,1549470.47,1016858.10,2014300.94,2.60,1.59,1.55,2.11,1.926665e-06
ASIC_680k,Circuit,682862,3871773,5.67,659.81,682779,682389,682860,682684,109790.52,202283.56,142127.40,161566.52,1.61,1.33,1.62,1.72,8.303171e-06
