matrix,category,reordering,threads,gflops,time_ms
inline_1,FEM,none,1,0.9032,81.524
inline_1,FEM,rcm,1,0.9199,80.041
inline_1,FEM,amd,1,0.9110,80.827
inline_1,FEM,nd,1,0.9121,80.725
inline_1,FEM,none,2,1.7644,41.733
inline_1,FEM,rcm,2,1.8049,40.796
inline_1,FEM,amd,2,1.7975,40.964
inline_1,FEM,nd,2,1.8037,40.824
inline_1,FEM,none,4,2.7428,26.845
inline_1,FEM,rcm,4,3.1376,23.468
inline_1,FEM,amd,4,3.3107,22.241
inline_1,FEM,nd,4,3.3800,21.785
Flan_1565,FEM,none,1,0.9619,244.112
Flan_1565,FEM,rcm,1,0.9531,246.355
Flan_1565,FEM,amd,1,0.9407,249.607
Flan_1565,FEM,nd,1,0.9474,247.848
Flan_1565,FEM,none,2,1.8955,123.882
Flan_1565,FEM,rcm,2,1.8797,124.919
Flan_1565,FEM,amd,2,1.8604,126.219
Flan_1565,FEM,nd,2,1.8444,127.312
Flan_1565,FEM,none,4,3.5569,66.016
Flan_1565,FEM,rcm,4,3.4823,67.431
Flan_1565,FEM,amd,4,3.4972,67.142
Flan_1565,FEM,nd,4,3.1280,75.069
Hook_1498,FEM,none,1,0.9854,123.642
Hook_1498,FEM,rcm,1,0.9834,123.897
Hook_1498,FEM,amd,1,0.9768,124.730
Hook_1498,FEM,nd,1,0.9756,124.882
Hook_1498,FEM,none,2,1.9308,63.101
Hook_1498,FEM,rcm,2,1.9222,63.385
Hook_1498,FEM,amd,2,1.8837,64.678
Hook_1498,FEM,nd,2,1.9261,63.254
Hook_1498,FEM,none,4,3.0970,39.339
Hook_1498,FEM,rcm,4,3.4746,35.064
Hook_1498,FEM,amd,4,3.3129,36.776
Hook_1498,FEM,nd,4,3.5430,34.388
audikw_1,FEM,none,1,0.8873,175.032
audikw_1,FEM,rcm,1,0.8995,172.664
audikw_1,FEM,amd,1,0.8898,174.543
audikw_1,FEM,nd,1,0.8954,173.456
audikw_1,FEM,none,2,1.4003,110.908
audikw_1,FEM,rcm,2,1.7816,87.173
audikw_1,FEM,amd,2,1.7442,89.039
audikw_1,FEM,nd,2,1.7545,88.516
audikw_1,FEM,none,4,1.7181,90.392
audikw_1,FEM,rcm,4,3.3597,46.225
audikw_1,FEM,amd,4,3.1335,49.562
audikw_1,FEM,nd,4,3.3686,46.103
F1,FEM,none,1,0.8859,60.589
F1,FEM,rcm,1,0.9101,58.973
F1,FEM,amd,1,0.9086,59.073
F1,FEM,nd,1,0.9060,59.240
F1,FEM,none,2,1.4551,36.887
F1,FEM,rcm,2,1.7977,29.858
F1,FEM,amd,2,1.7714,30.301
F1,FEM,nd,2,1.7787,30.176
