matrix,reordering,time_s
inline_1,rcm,2.5494
inline_1,amd,1.2936
inline_1,nd,2.9801
Flan_1565,rcm,5.9515
Flan_1565,amd,3.3697
Flan_1565,nd,6.9240
Hook_1498,rcm,4.0450
Hook_1498,amd,3.2850
Hook_1498,nd,6.2340
audikw_1,rcm,5.4530
audikw_1,amd,2.8777
audikw_1,nd,6.5130
F1,rcm,1.9114
F1,amd,1.0634
F1,nd,2.5836
consph,rcm,0.4529
consph,amd,0.1650
consph,nd,0.4908
ldoor,rcm,2.5533
ldoor,amd,1.2874
ldoor,nd,1.1129
pwtk,rcm,0.5859
pwtk,amd,0.2782
pwtk,nd,0.3175
bmw7st_1,rcm,0.4203
bmw7st_1,amd,0.2134
bmw7st_1,nd,0.2715
thermal2,rcm,1.6814
thermal2,amd,1.9188
thermal2,nd,4.8353
atmosmodd,rcm,0.5542
atmosmodd,amd,2.0998
atmosmodd,nd,22.4758
rma10,rcm,0.1703
rma10,amd,0.0718
rma10,nd,0.1171
kkt_power,rcm,1.4542
kkt_power,amd,3.1206
kkt_power,nd,20.9952
nlpkkt120,rcm,4.7970
nlpkkt120,amd,19.4255
nlpkkt120,nd,109.9833
mip1,rcm,0.6100
mip1,amd,0.4383
mip1,nd,4.3677
largebasis,rcm,0.2399
largebasis,amd,0.2186
largebasis,nd,0.8359
gupta2,rcm,0.4317
gupta2,amd,4.8252
gupta2,nd,3.3544
nv2,rcm,5.6496
nv2,amd,10.9366
nv2,nd,40.3210
G3_circuit,rcm,0.4062
G3_circuit,amd,1.5945
G3_circuit,nd,6.0642
dgreen,rcm,4.0218
dgreen,amd,7.7571
dgreen,nd,25.9169
circuit5M,rcm,3.4738
circuit5M,amd,19.6419
circuit5M,nd,38.7058
ASIC_680k,rcm,0.2627
ASIC_680k,amd,0.3132
ASIC_680k,nd,3.1223
